airport_id,airport_type,airport_name,airport_long,airport_lat
320093,heliport,Foothills Hospital McCaig Tower Helipad,51.0654,-114.135001
320094,heliport,K. Coffey Residence Helipad,51.1657,-114.314801
320095,heliport,Calgary\Okotoks (GG Ranch) Heliport,50.7448,-113.991601
320096,heliport,Calgary/South Health Campus Hospital Helipad,50.8828,-113.95200000000001
320116,heliport,Canmore Hospital Helipad,51.0924,-115.349501
320121,small_airport,Rednek Air Airport,49.821603,-112.5308
320123,small_airport,Didsbury/Minty Field,51.6535,-114.353
320190,small_airport,Bracebridge (Stone Wall Farm) Airport,44.988503,-79.1895
320311,heliport,Stuart Lake Hospital Helipad,54.440705,-124.2424
320339,small_airport,Palestine Airport,44.490101,-78.977902
320343,small_airport,Lampman/Spitfire Air Airport,49.49,-102.882902
320420,heliport,Chrome Island Lightstation Helipad,49.471829,-124.684468
320495,heliport,Cape Scott Lightstation Helipad,50.7819,-128.427504
320522,small_airport,Martin's Landing,48.2936,-89.543002
320541,heliport,Valleyview Health Centre Heliport,55.0675,-117.2718
320560,heliport,Sisters Islets Lighthouse Helipad,49.486989,-124.43506200000002
320587,small_airport,Stouffville Airport,43.9931,-79.2674
320594,heliport,Active Pass Lighthouse Heliport,48.8734,-123.2914
320608,heliport,Ivory Island Lightstation Helipad,52.271104,-128.405304
320620,heliport,Discovery Island Lightstation Helipad,48.4248,-123.225802
320671,small_airport,Aviation PLMG Inc Airport,46.8844,-75.3329
320716,heliport,Bonilla Island Lightstation Helipad,53.492902,-130.6353
320723,heliport,Addenbroke Island Lightstation Helipad,51.6045,-127.863602
320878,seaplane_base,Morrison Lake Seaplane Base,44.8705,-79.461
320983,large_airport,Cyll,53.310365000000004,-110.07202099999999
320987,medium_airport,Cycd,49.054970000000004,-123.87085
321389,small_airport,Intergalactic,49.020309000000005,-122.732863
322987,small_airport,Twin Creeks Airport,62.619443999999994,-131.270277
323244,small_airport,Brechin / Skywagon City Airfield,44.569964,-79.233377
323245,seaplane_base,Brechin / Ronan Waterdrome,44.569697,-79.2237
323246,small_airport,Brechin / Ronan Airfield,44.571164,-79.22538399999999
325172,small_airport,Bolton Lake Lodge Airstrip,54.220665000000004,-95.766588
326149,large_airport,yyz,0.0,0.0
329455,small_airport,Fawcettville Airfield,44.034448,-77.14711199999999
43086,heliport,Abbotsford (Regional Hospital & Cancer Centre) Heliport,49.0361500085,-122.314048558
306929,small_airport,St. Andre-Avellin Aerodrome,45.746389,-75.07583100000001
28471,seaplane_base,Zeballos Seaplane Base,49.9778,-126.8445
611,heliport,Smithers (Canadian) Heliport,54.7750015258789,-127.13500213623048
28237,seaplane_base,Gilford Island/Echo Bay Seaplane Base,50.7667007446,-126.48300170899999
612,small_airport,Invermere Airport,50.5167007446289,-116.0
28374,seaplane_base,Port Alberni/Sproat Lake Seaplane Base,49.289152450699994,-124.937746525
28174,seaplane_base,Bedwell Harbour Seaplane Base,48.75,-123.23300170899999
28447,seaplane_base,Tofino Harbour Seaplane Base,49.155,-125.91
613,heliport,Kelowna (Alpine) Heliport,49.8653839897,-119.568818361
28468,seaplane_base,Williams Lake Seaplane Base,52.1166992188,-122.099998474
45053,heliport,Calgary (Alberta Children's Hospital),51.07582624649999,-114.14770782
28332,seaplane_base,Nanaimo Harbour Water Airport,49.1833000183,-123.94999694799999
28427,seaplane_base,Stewart Seaplane Base,55.9166984558,-130.0
320493,heliport,Allan Dale Residence Heliport,52.2699,-113.6974
320494,heliport,Allan Dale Trailers & RV Heliport,52.308801,-113.8633
614,small_airport,Trail Airport,49.0555992126,-117.60900116
615,small_airport,Merritt Airport,50.1227989197,-120.747001648
28164,seaplane_base,Atlin Seaplane Base,59.5666999817,-133.716995239
28238,seaplane_base,Gilford Island/Health Bay Seaplane Base,50.7000007629,-126.599998474
28335,seaplane_base,Nelson Seaplane Base,49.5,-117.30000305200001
616,heliport,Cranbrook (East Kootenay Regional Hospital) Heliport,49.51250076293945,-115.75
28187,seaplane_base,Campbell River Seaplane Base,50.049999,-125.25
617,small_airport,Tsacha Lake Airport,53.0167007446289,-124.83300018310548
28465,seaplane_base,Whistler/Green Lake Water Aerodrome,50.1436004639,-122.948997498
28251,seaplane_base,Harrison Hot Springs Seaplane Base,49.3048530057,-121.78593635600001
28169,seaplane_base,Bamfield Seaplane Base,48.8333015442,-125.133003235
320199,small_airport,Cayuga East Airport,42.960301,-79.788
618,small_airport,Tsuniah Lake Lodge Airport,51.53329849243164,-124.16699981689452
28177,seaplane_base,Big Bay Seaplane Base,50.3923,-125.1372
28339,seaplane_base,Nimpo Lake Seaplane Base,52.327,-125.145
619,small_airport,Chilko Lake (Tsylos Park Lodge) Airport,51.626098632799994,-124.14199829100001
28182,seaplane_base,Blind Channel Seaplane Base,50.416698,-125.5
28364,seaplane_base,Pender Harbour Seaplane Base,49.623785,-124.02488400000001
28433,seaplane_base,Surge Narrows Seaplane Base,50.216702000000005,-125.116997
28346,seaplane_base,Ocean Falls Seaplane Base,52.3666992188,-127.717002869
620,small_airport,Courtenay Airpark,49.679401397705,-124.9820022583
621,small_airport,Valemount Airport,52.85329818725586,-119.33399963378906
28268,seaplane_base,Kamloops Seaplane Base,50.700003,-120.432999
622,small_airport,Wiley Airport,66.49109649658203,-136.572998046875
623,small_airport,Creston Valley Regional Airport - Art Sutcliffe Field,49.03689956665,-116.49800109863001
624,small_airport,Anahim Lake Airport,52.45249938964844,-125.3030014038086
625,small_airport,Cayley A J Flying Ranch Airport,50.45000076293945,-113.75
28370,seaplane_base,Pitt Meadows Seaplane Base,49.209858000000004,-122.70904499999999
626,small_airport,Fort Ware Airport,57.42720031738281,-125.6500015258789
627,small_airport,Delta Heritage Air Park,49.0774,-122.941002
28188,seaplane_base,Camp Cordero Seaplane Base,50.446694,-125.45378500000001
628,heliport,Vancouver (Children & Women's Health Centre) Heliport,49.2438419064,-123.127095848
28219,seaplane_base,Finlay Bay Seaplane Base,55.97919845581055,-123.7770004272461
629,small_airport,Douglas Lake Airport,50.1654600485,-120.17127335100001
30592,small_airport,Fort MacKay/Albian Aerodrome,57.2238998413,-111.418998718
46536,heliport,Prince Albert (Fire Centre) Heliport,53.228574,-105.75573600000001
630,heliport,Ganges (Lady Minto / Gulf Islands Hospital) Heliport,48.8625294276,-123.508716524
28434,seaplane_base,Tahsis Seaplane Base,49.9166984558,-126.666999817
631,small_airport,Duncan Airport,48.7545336204,-123.709702492
46598,small_airport,Alhambra / Ahlstrom Airport,52.346194,-114.667525
632,small_airport,Houston Airport,54.4392009821,-126.77887916600001
28380,seaplane_base,Port McNeill Seaplane Base,50.5922314571,-127.08838462799999
28454,seaplane_base,Vancouver International Seaplane Base,49.177046999999995,-123.168154
28450,seaplane_base,Ucluelet Seaplane Base,48.950003,-125.550005
28385,seaplane_base,Prince Rupert/Digby Island Seaplane Base,54.313646,-130.405058
28455,seaplane_base,Vanderhoof (District) Seaplane Base,54.0206,-123.995001
634,small_airport,Sechelt-Gibsons Airport,49.460601806599996,-123.71900177
28458,seaplane_base,Victoria Airport,48.65389205060001,-123.45045089700001
635,small_airport,Ingenika Airport,56.790599823,-124.89700317399999
28274,seaplane_base,Kitkatla Seaplane Base,53.7999992371,-130.432998657
314226,small_airport,Appleton Field,50.9904,-113.3703
